short_name,Year,no_countries-,countries,End year,report_title,full_name,main_org,other_org,link,data_prod,sample_size,domains,pub_freq,Comments
TIMMS-3,2003,,,,"Mullis, I. V., Martin, M. O., Gonzalez, E. J., & Chrostowski, S. J. (2004). TIMSS 2003 International Mathematics Report: Findings from IEA's Trends in International Mathematics and Science Study at the Fourth and Eighth Grades. TIMSS & PIRLS International Study Center. Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467.",Trends in International Mathematics and Science Study Advanced,IEA,IEA,,test,,,,
ALLS,2003,,,,"Desjardins, R., Murray, T. S., Rubenson, K., Werquin, P., Recotillet, I., Dong, L., ... & Kirsch, I. (2005). Learning a living: First results of the adult literacy and life skills survey.",Adult Literacy and Lifeskills Survey,OECD,"OECD, StatCan, ETS, UNESCO",,test,,,,
LAMP,2003,,,,not available,Literacy Assessment Monitoring Programme,UNESCO,UNESCO,,test,,,,
GEM 3,2005,,,,"UNESCO (2004) Education for all: the quality imperative; EFA global monitoring report, Paris",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
ALLS 2,2006,,,,"Statistics Canada. Culture, Tourism and the Centre for Education Statistics Division Organisation for Economic Co-operation and Development (OECD). (2011). Literacy for life: Further results from the adult literacy and life skills survey.",Adult Literacy and Lifeskills Survey 2,OECD,"OECD, StatCan, ETS, UNESCO",,test,,,,
PIRLS 2,2006,,,2007,"Mullis, I. V. (2007). PIRLS 2006 International Report: IEA's Progress in International Reading Literacy Study in primary school in 40 countries. TIMSS & PIRLS International Study Center, Boston College.",Progress in International Reading Literacy Study,IEA,IEA,https://timssandpirls.bc.edu/pirls2006/about.html,test,,,,
SITES-2006,2006,,,,"Carstens, R., & Pelgrum, W. J. (2009). Second information technology in education study. SITES 2006 technical report.",Second Information Technology in Education Study,IEA,IEA,https://eric.ed.gov/?id=ED510137,test,,,,
PISA 3,2006,,,,"Schleicher, A. (2007). PISA 2006: Science competencies for tomorrow’s world. Retrieved from.",Programme for International Student Assessment 3,OECD,"OECD, ACER",,test,,,,computer based test science 2006
GEM 4,2006,,,,"UNESCO. (2006) Education for all: literacy for life; EFA global monitoring report,UNESCO, Paris ",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
TIMMS-4,2007,,,,"Mullis, I. V. (2008). TIMSS 2007 International Science Report: Findings from IEA's Trends in International Mathematics and Science Study at the Fourth and Eighth Grades. TIMSS & PIRLS International Study Center.; ",Trends in International Mathematics and Science Study Advanced,IEA,IEA,https://timssandpirls.bc.edu/isc/publications.html,test,,,,
GEM 6,2007,,,,"UNESCO. (2007). Strong foundations: early childhood care and education;EFA global monitoring report, UNESCO, Paris",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
TIMMS A1,2008,,,,"Mullis, I. V., Martin, M. O., Robitaille, D. F., & Foy, P. (2009). TIMSS advanced 2008 international report: Findings from IEA's study of achievement in advanced mathematics and physics in the final year of secondary school. TIMSS & PIRLS International Study Center, Lynch School of Education, Boston College.",Trends in International Mathematics and Science Study Advanced,IEA,IEA,,test,,,,
GEM 7,2008,,,,"UNESCO, (2008). Education for All by 2015. Will we make it?, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
Talis 1,2008,,,,"Peña-López, I. (2009). Creating effective teaching and learning environments: First results from TALIS.",Teaching and Learning International Survey ,OECD,OECD,,survey,,,,
PISA 4,2009,,,,"Organisation for Economic Co-operation and Development. (2010). PISA 2009 Results: What Students Know and Can Do–Student Performance in Reading, Mathematics, and Science (Volume I). Paris: OECD Publishing.",Programme for International Student Assessment 4,OECD,OECD,http://www.oecd.org/pisa/aboutpisa/pisa2009keyfindings.htm,test,,,,
GEM 8,2009,,,,"UNESCO, (2009). Overcoming inequality: why governance matters; EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
STEP,2010,,,,World Bank. (2010) Stepping up skills for more jobs and higher productivity. Washington D.C.: The World Bank.,Skills Toward Employment and Productivity Measurement Study,World Bank,World Bank,,test,,,,
GEM 9,2010,,,,"UNESCO, (2010). Reaching the marginalized: EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
PIRLS-2011,2011,,,,"Martin, M. O., & Mullis, I. V. (2013). TIMSS and PIRLS 2011: Relationships among Reading, Mathematics, and Science Achievement at the Fourth Grade--Implications for Early Learning. International Association for the Evaluation of Educational Achievement. Herengracht 487, Amsterdam, 1017 BT, The Netherlands.",Progress in International Reading Literacy Study ,IEA,IEA,,test,,,,
LAMP,2011,,,,"Guadalupe, C., Tay-Lim, B., Cardoso, M., & Girardi, L. (2009). The next generation of literacy statistics: Implementing the Literacy Assessment and Monitoring Programme.",Literacy Assessment Monitoring Programme,UNESCO,"UNESCO, UIS",,test,,,,
GEM 10,2011,,,,"UNESCO, (2011). The Hidden crisis: armed conflict and education; EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
ECLS,2012,,,,European Commission. (2012). First European survey on language competences. Publications Office of the European Union.,First European Survey on Language Competences. ,CELA,"CELA, Goethe Insitut, U. of Salalmanca, CIEP, Cito, Instituto Cervantes, Gallup, U. of Perugia",,test,,,,
PIAAC 1.1,2011,24,24 countries and regions ,2012,"Desjardins, R., Thorn, W., Schleicher, A., Quintini, G., Pellizzari, M., Kis, V., & Chung, J. E. (2013). OECD skills outlook 2013: First results from the survey of adult skills.",Programme for the International Assessment of Adult Competencies,OECD,"OECD, ETS",,test,,,,computer delivered 2015
PISA 5,2012,,,,Organisation for Economic Co-operation and Development. (2013). PISA 2012 results in focus: What 15-year-olds know and what they can do with what they know.,Programme for International Student Assessment 5,OECD,"OECD, ACER",,test,,,,
GEM 11,2012,,,,"UNESCO, (2012). Youth and skills: putting education to work, EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,,,,,
ICILS,2013,21,21,,"European Commission, (2014), International Study of Computer and Information Literacy. Main findings and implications for policy in Europe, European Commission, Brussels. ",International Study of Computer and Information Literacy,IEA,IEA,,test,,,,
GEM 12,2014,,,,"UNESCO, (2014). Teaching and learning: achieving quality for all; EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,report,,,,
Talis 2,2013,,,,Organisation for Economic Co-operation and Development. (2014). TALIS 2013 results: An international perspective on teaching and learning. OECD.,Teaching and Learning International Survey ,IEA,IEA,,,,,,
PIAAC 1.2,2014,10,"(Chile, Greece, Indonesia [Jakarta], Israel, Lithuania, New Zealand, Singapore, Slovenia and Turkey)",2015,"Kankaraš, M., Montt, G., Paccagnella, M., Quintini, G., & Thorn, W. (2016). Skills Matter: Further Results from the Survey of Adult Skills. OECD Skills Studies. OECD Publishing.","Skills Matter: Further Results from the Survey of Adult Skills
",OECD,OECD,,,,,,
PISA 6,2015,,,,"Pisa, O. E. C. D. (2015). Pisa: Results in focus. Organisation for Economic Co-operation and Development: OECD.",Programme for International Student Assessment 6,OECD,"OECD, ETS, Pearson",,test,,,,
PIRLS,2015,,,2016,"Mullis, I. V. S., Martin, M. O., Foy, P., & Hooper, M. (2017). PIRLS 2016: International Results in Reading. Retrieved from Boston College. TIMSS & PIRLS international study center website.",Progress in International Reading Literacy Study,IEA,IEA,,,,,,The Progress in International Reading Literacy Study (PIRLS) is a research study that provides both trend and snapshot information on the reading literacy of New Zealand's Year 5 students in both the International and national contexts. PIRLS 2015/2016 was the fourth cycle of the study to be administered.
TIMMS-5,2015,,,,"Mullis, I. V. S., Martin, M. O., Foy, P., & Hooper, M. (2016). TIMSS 2015 International Results in Mathematics. Retrieved from Boston College, TIMSS & PIRLS International Study Center website: http://timssandpirls.bc.edu/timss2015/international-results/; Mullis, I. V. S., Martin, M. O., Foy, P., & Hooper, M. (2016). TIMSS 2015 International Results in Science. Retrieved from Boston College, TIMSS & PIRLS International Study Center website: http://timssandpirls.bc.edu/timss2015/international-results/ UNESCO, (2020). Global education monitoring report, 2019: Inclusion and education, UNESCO, Paris",Trends in International Mathematics and Science Study Advanced,IEA,IEA,,test,,,,
GEM 13,2015,,,,"UNESCO, (2015). Education for All 2000-2015: achievements and challenges; EFA global monitoring report, UNESCO, Paris.",Education For All Global Monitoring Report ,UNESCO,"UNESCO, UIS",,,,,,
GEM 14,2016,,,,"UNESCO, (2016). Education for people and planet: creating sustainable futures for all, Global education monitoring report, UNESCO, Paris.",Global Education Monitoring Report  ,UNESCO,"UNESCO, UIS",,,,,,
GEM  15,2017,,,,"UNESCO, (2017). Accountability in education: meeting our commitments; Global education monitoring report, UNESCO, Paris.",Global Education Monitoring Report  ,UNESCO,"UNESCO, UIS",,,,,,
PIAAC 2,2018,34,"Australia, Austria, Belgium (Flanders), Canada, Chile, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Germany, Hungary, Ireland, Israel, Italy, Japan, Korea, Latvia, Lithuania, Netherlands, New Zealand, Norway, Poland, Portugal, Russian Federation, Singapore, Slovak Republic, Spain, Sweden, Switzerland, United Kingdom (England), United States",2023,not available,Programme for International Student Assessment 6,OECD,OECD,,test,,,,
Talis 3,2018,,,,not available,Teaching and Learning International Survey ,OECD,OECD,,,,,,
GEM 16,2019,,,,"UNESCO, (2019). Global education monitoring report, 2019: Migration, displacement and education: building bridges, not walls, UNESCO, Paris.",Global Education Monitoring Report  ,UNESCO,"UNESCO, UIS",,,,,,
WDR,2018,,,,World Development Report (WDR:  LEARNING to Realize Education’s Promise,"World Development Report (WDR:  LEARNING to Realize Education’s Promise
",World Bank,World Bank,https://www.worldbank.org/en/publication/wdr2018,"U.S. Agency for International Development (USAID): Early Grade Reading Barometer, OECD PISA, uwezo: Measure actual levels of children’s literacy and numeracy across Kenya, Tanzania and Uganda: Are our children learning? Literacy and Numeracy across east africa

",,,,"The World Development Report 2018 (WDR 2018)—LEARNING to Realize Education’s Promise—is the first ever devoted entirely to education. And the timing is excellent: education has long been critical to human welfare, but it is even more so in a time of rapid economic and social change. The best way to equip children and youth for the future is to place their learning at the center. The 2018 WDR explores four main themes: 1) education’s promise; 2) the need to shine a light on learning; 3) how to make schools work for learners; and 4) how to make systems work for learning."
GEM 17,2020,,,,"UNESCO, (2020). Global education monitoring report, 2019: Inclusion and education, UNESCO, Paris.",Global Education Monitoring Report  ,UNESCO,UNESCO,,,,,,
IELS,2020,,3,,not available,International Early Learning and Child Well-being Study,OECD,OECD,,,,,,
ePIRLS 2021,2021,,,,not available,electronic-Progress in International Reading Literacy Study ,IEA,IEA,https://timssandpirls.bc.edu/pirls2021/index.html,test,,,,"n 2021, IEA’s PIRLS (Progress in International Reading Literacy Study), well-established as the “de facto” worldwide standard for monitoring reading comprehension achievement, will mark its 20th year. PIRLS 2021 will provide data on trends in comparative reading achievement across countries over two decades. Since 2001, PIRLS has been conducted every five years at the fourth grade. ePIRLS, an innovative assessment of online informational reading, was introduced in 2016 as an optional component. Reading literacy is the foundation for academic success, and PIRLS is a valuable vehicle for studying whether new or revised policies impact achievement. The PIRLS reading assessment is based on a comprehensive framework that covers major reading purposes — for literary experience, to acquire and use information, and to search for information on the internet."
Talis 4,2024,,,,not available,Teaching and Learning International Survey ,OECD,OECD,,,,,,
